name	kcal	protein	carbs	fat	fiber
Arroz, integral, cozido	124	2.6	1	25.8	2.7
Arroz, integral, cru	360	7.3	1.9	77.5	4.8
Arroz, tipo 1, cozido	128	2.5	0.2	28.1	1.6
Arroz, tipo 1, cru	358	7.2	0.3	78.8	1.6
Arroz, tipo 2, cozido	130	2.6	0.4	28.2	1.1
Arroz, tipo 2, cru	358	7.2	0.3	78.9	1.7
Aveia, flocos, crua	394	13.9	8.5	66.6	9.1
Biscoito, doce, maisena	443	8.1	12	75.2	2.1
Biscoito, doce, recheado com chocolate	472	6.4	19.6	70.5	3
Biscoito, doce, recheado com morango	471	5.7	19.6	71	1.5
Biscoito, doce, wafer, recheado de chocolate	502	5.6	24.7	67.5	1.8
Biscoito, doce, wafer, recheado de morango	513	4.5	26.4	67.4	0.8
Biscoito, salgado, cream cracker	432	10.1	14.4	68.7	2.5
Bolo, mistura para	419	6.2	6.1	84.7	1.7
Bolo, pronto, aipim	324	4.4	12.7	47.9	0.7
Bolo, pronto, chocolate	410	6.2	18.5	54.7	1.4
Bolo, pronto, coco	333	5.7	11.3	52.3	1.1
Bolo, pronto, milho	311	4.8	12.4	45.1	0.7
Canjica, branca, crua	358	7.2	1	78.1	5.5
Canjica, com leite integral	112	2.4	1.2	23.6	1.2
Cereais, milho, flocos, com sal	370	7.3	1.6	80.8	5.3
Cereais, milho, flocos, sem sal	363	6.9	1.2	80.4	1.8
Cereais, mingau, milho, infantil	394	6.4	1.1	87.3	3.2
Cereais, mistura para vitamina, trigo, cevada e aveia	381	8.9	2.1	81.6	5
Cereal matinal, milho	365	7.2	1	83.8	4.1
Cereal matinal, milho, açúcar	377	4.7	0.7	88.8	2.1
Creme de arroz, pó	386	7	1.2	83.9	1.1
Creme de milho, pó	333	4.8	1.6	86.1	3.7
Curau, milho verde	78	2.4	1.6	13.9	0.5
Curau, milho verde, mistura para	402	2.2	13.4	79.8	2.5
Farinha, de arroz, enriquecida	363	1.3	0.3	85.5	0.6
Farinha, de centeio, integral	336	12.5	1.8	73.3	15.5
Farinha, de milho, amarela	351	7.2	1.5	79.1	5.5
Farinha, de rosca	371	11.4	1.5	75.8	4.8
Farinha, de trigo	360	9.8	1.4	75.1	2.3
Farinha, láctea, de cereais	415	11.9	5.8	77.8	1.9
Lasanha, massa fresca, cozida	164	5.8	1.2	32.5	1.6
Lasanha, massa fresca, crua	220	7	1.3	45.1	1.6
Macarrão, instantâneo	436	8.8	17.2	62.4	5.6
Macarrão, trigo, cru	371	10	1.3	77.9	2.9
Macarrão, trigo, cru, com ovos	371	10.3	2	76.6	2.3
Milho, amido, cru	361	0.6	1E-05	87.1	0.7
Milho, fubá, cru	353	7.2	1.9	78.9	4.7
Milho, verde, cru	138	6.6	0.6	28.6	3.9
Milho, verde, enlatado, drenado	98	3.2	2.4	17.1	4.6
Mingau tradicional, pó	373	0.6	0.4	89.3	0.9
Pamonha, barra para cozimento, pré-cozida	171	2.6	4.8	30.7	2.4
Pão, aveia, forma	343	12.4	5.7	59.6	6
Pão, de soja	309	11.3	3.6	56.5	5.7
Pão, glúten, forma	253	12	2.7	44.1	2.5
Pão, milho, forma	292	8.3	3.1	56.4	4.3
Pão, trigo, forma, integral	253	9.4	3.7	49.9	6.9
Pão, trigo, francês	300	8	3.1	58.6	2.3
Pão, trigo, sovado	311	8.4	2.8	61.5	2.4
Pastel, de carne, cru	289	10.7	8.8	42	1
Pastel, de carne, frito	388	10.1	20.1	43.8	1
Pastel, de queijo, cru	308	9.9	9.6	45.9	1.1
Pastel, de queijo, frito	422	8.7	22.7	48.1	0.9
Pastel, massa, crua	310	6.9	5.5	57.4	1.4
Pastel, massa, frita	570	6	40.9	49.3	1.3
Pipoca, com óleo de soja, sem sal	448	9.9	15.9	70.3	14.3
Polenta, pré-cozida	103	2.3	0.3	23.3	2.4
Torrada, pão francês	377	10.5	3.3	74.6	3.4
Abóbora, cabotian, cozida	48	1.4	0.7	10.8	2.5
Abóbora, cabotian, crua	39	1.7	0.5	8.4	2.2
Abóbora, menina brasileira, crua	14	0.6	1E-05	3.3	1.2
Abóbora, moranga, crua	12	1	0.1	2.7	1.7
Abóbora, moranga, refogada	29	0.4	0.8	6	1.5
Abóbora, pescoço, crua	24	0.7	0.1	6.1	2.3
Abobrinha, italiana, cozida	15	1.1	0.2	3	1.6
Abobrinha, italiana, crua	19	1.1	0.1	4.3	1.4
Abobrinha, italiana, refogada	24	1.1	0.8	4.2	1.4
Abobrinha, paulista, crua	31	0.6	0.1	7.9	2.6
Acelga, crua	21	1.4	0.1	4.6	1.1
Agrião, cru	17	2.7	0.2	2.3	2.1
Aipo, cru	19	0.8	0.1	4.3	1
Alface, americana, crua	9	0.6	0.1	1.7	1
Alface, crespa, crua	11	1.3	0.2	1.7	1.8
Alface, lisa, crua	14	1.7	0.1	2.4	2.3
Alface, roxa, crua	13	0.9	0.2	2.5	2
